"f_42-3:0","f_42-3:1","f_42-3:2",":0",":1",":2"
0.10013,-1.1084e-05,0,1,0,0
-0.050071,0.086706,0,-0.5,0.86603,0
-0.050068,-0.086708,0,-0.5,-0.86603,0
0.09582,-4.9525e-06,0,2,0,0
-0.04793,0.082972,0,-1,1.7321,0
-0.047914,-0.082981,0,-1,-1.7321,0
0.099628,0.0099708,0,0.99503,0.099568,0
0.098141,0.019836,0,0.98017,0.19815,0
0.09568,0.029502,0,0.95557,0.29476,0
0.092263,0.038894,0,0.92148,0.38843,0
0.087929,0.047891,0,0.87822,0.47825,0
0.082727,0.056403,0,0.82624,0.56332,0
0.076695,0.064366,0,0.76604,0.64279,0
0.069915,0.071673,0,0.69824,0.71587,0
0.062437,0.078274,0,0.62349,0.78183,0
0.054316,0.084113,0,0.54255,0.84003,0
0.045679,0.089098,0,0.45621,0.88987,0
0.036582,0.093204,0,0.36534,0.93087,0
0.027107,0.096386,0,0.27084,0.96262,0
0.01739,0.098604,0,0.17365,0.98481,0
0.0074923,0.099845,0,0.07473,0.9972,0
-0.0024981,0.10009,0,-0.024931,0.99969,0
-0.012461,0.099347,0,-0.12434,0.99224,0
-0.022271,0.097617,0,-0.22252,0.97493,0
-0.031879,0.094915,0,-0.31849,0.94793,0
-0.041187,0.091262,0,-0.41129,0.91151,0
-0.05845,0.081294,0,-0.58374,0.81194,0
-0.066248,0.075076,0,-0.66169,0.74978,0
-0.073393,0.068107,0,-0.73305,0.68017,0
-0.079816,0.060453,0,-0.79713,0.6038,0
-0.08544,0.052202,0,-0.85329,0.52144,0
-0.090208,0.043447,0,-0.90097,0.43388,0
-0.094084,0.034253,0,-0.93969,0.34202,0
-0.097029,0.024707,0,-0.96908,0.24676,0
-0.099006,0.014928,0,-0.98883,0.14904,0
-0.1,0.0049832,0,-0.99876,0.049846,0
-0.1,-0.0049894,0,-0.99876,-0.049846,0
-0.099008,-0.014921,0,-0.98883,-0.14904,0
-0.097027,-0.024717,0,-0.96908,-0.24676,0
-0.094087,-0.034245,0,-0.93969,-0.34202,0
-0.090214,-0.043435,0,-0.90097,-0.43388,0
-0.085432,-0.052215,0,-0.85329,-0.52144,0
-0.079811,-0.06046,0,-0.79713,-0.6038,0
-0.073394,-0.068106,0,-0.73305,-0.68017,0
-0.066248,-0.075075,0,-0.66169,-0.74978,0
-0.058433,-0.081306,0,-0.58374,-0.81194,0
-0.041183,-0.091264,0,-0.41129,-0.91151,0
-0.031893,-0.09491,0,-0.31849,-0.94793,0
-0.022288,-0.097613,0,-0.22252,-0.97493,0
-0.012445,-0.099349,0,-0.12434,-0.99224,0
-0.0024928,-0.10009,0,-0.024931,-0.99969,0
0.007484,-0.099845,0,0.07473,-0.9972,0
0.017384,-0.098605,0,0.17365,-0.98481,0
0.027116,-0.096384,0,0.27084,-0.96262,0
0.036574,-0.093206,0,0.36534,-0.93087,0
0.045686,-0.089095,0,0.45621,-0.88987,0
0.054325,-0.084106,0,0.54255,-0.84003,0
0.062422,-0.078285,0,0.62349,-0.78183,0
0.069907,-0.071681,0,0.69824,-0.71587,0
0.076708,-0.064351,0,0.76604,-0.64279,0
0.082728,-0.056402,0,0.82624,-0.56332,0
0.087934,-0.047882,0,0.87822,-0.47825,0
0.092263,-0.038892,0,0.92148,-0.38843,0
0.095678,-0.02951,0,0.95557,-0.29476,0
0.098142,-0.01983,0,0.98017,-0.19815,0
0.099627,-0.0099728,0,0.99503,-0.099568,0
0.095701,0.0047864,0,1.9975,0.099692,0
0.095345,0.0095348,0,1.9901,0.19914,0
0.094751,0.014274,0,1.9777,0.29808,0
0.093918,0.018999,0,1.9603,0.39629,0
0.092859,0.023639,0,1.9382,0.49351,0
0.091563,0.028243,0,1.9111,0.58951,0
0.090039,0.03278,0,1.8794,0.68404,0
0.088295,0.037223,0,1.843,0.77687,0
0.086335,0.041568,0,1.8019,0.86777,0
0.084151,0.045827,0,1.7564,0.95651,0
0.081759,0.04997,0,1.7066,1.0429,0
0.07917,0.053979,0,1.6525,1.1266,0
0.076381,0.057857,0,1.5943,1.2076,0
0.073404,0.06159,0,1.5321,1.2856,0
0.07024,0.065176,0,1.4661,1.3603,0
0.066905,0.068595,0,1.3965,1.4317,0
0.063406,0.071842,0,1.3234,1.4996,0
0.059746,0.074913,0,1.247,1.5637,0
0.055937,0.077798,0,1.1675,1.6239,0
0.051979,0.080497,0,1.0851,1.6801,0
0.047912,0.082982,0,1,1.7321,0
0.043717,0.085266,0,0.91242,1.7797,0
0.039412,0.08734,0,0.82257,1.823,0
0.035009,0.089196,0,0.73068,1.8617,0
0.030514,0.090832,0,0.63697,1.8959,0
0.025951,0.092239,0,0.54168,1.9252,0
0.021324,0.093417,0,0.44504,1.9499,0
0.016638,0.094365,0,0.3473,1.9696,0
0.011912,0.095077,0,0.24869,1.9845,0
0.0071674,0.095552,0,0.14946,1.9944,0
0.0023861,0.095791,0,0.049861,1.9994,0
-0.0023935,0.09579,0,-0.049861,1.9994,0
-0.0071534,0.095553,0,-0.14946,1.9944,0
-0.011909,0.095077,0,-0.24869,1.9845,0
-0.016641,0.094364,0,-0.3473,1.9696,0
-0.021326,0.093417,0,-0.44504,1.9499,0
-0.025945,0.092241,0,-0.54168,1.9252,0
-0.030526,0.090828,0,-0.63697,1.8959,0
-0.035006,0.089197,0,-0.73068,1.8617,0
-0.039399,0.087346,0,-0.82257,1.823,0
-0.043701,0.085275,0,-0.91242,1.7797,0
-0.05199,0.08049,0,-1.0851,1.6801,0
-0.05593,0.077803,0,-1.1675,1.6239,0
-0.059749,0.074911,0,-1.247,1.5637,0
-0.063404,0.071844,0,-1.3234,1.4996,0
-0.066897,0.068602,0,-1.3965,1.4317,0
-0.07023,0.065186,0,-1.4661,1.3603,0
-0.073416,0.061576,0,-1.5321,1.2856,0
-0.076387,0.05785,0,-1.5943,1.2076,0
-0.079167,0.053983,0,-1.6525,1.1266,0
-0.081753,0.04998,0,-1.7066,1.0429,0
-0.084156,0.045818,0,-1.7564,0.95651,0
-0.086334,0.041568,0,-1.8019,0.86777,0
-0.088295,0.037222,0,-1.843,0.77687,0
-0.090041,0.032774,0,-1.8794,0.68404,0
-0.091565,0.028238,0,-1.9111,0.58951,0
-0.092856,0.02365,0,-1.9382,0.49351,0
-0.09392,0.018991,0,-1.9603,0.39629,0
-0.09475,0.014282,0,-1.9777,0.29808,0
-0.095345,0.0095316,0,-1.9901,0.19914,0
-0.095701,0.0047847,0,-1.9975,0.099692,0
-0.09582,4.7212e-06,0,-2,-5.8974e-09,0
-0.095701,-0.0047769,0,-1.9975,-0.099692,0
-0.095344,-0.0095399,0,-1.9901,-0.19914,0
-0.09475,-0.01428,0,-1.9777,-0.29808,0
-0.09392,-0.018987,0,-1.9603,-0.39629,0
-0.092856,-0.023652,0,-1.9382,-0.49351,0
-0.091562,-0.028248,0,-1.9111,-0.58951,0
-0.090045,-0.032762,0,-1.8794,-0.68404,0
-0.088295,-0.037223,0,-1.843,-0.77687,0
-0.086333,-0.041572,0,-1.8019,-0.86777,0
-0.084149,-0.045832,0,-1.7564,-0.95651,0
-0.08176,-0.049969,0,-1.7066,-1.0429,0
-0.079172,-0.053975,0,-1.6525,-1.1266,0
-0.076384,-0.057854,0,-1.5943,-1.2076,0
-0.073402,-0.061592,0,-1.5321,-1.2856,0
-0.070242,-0.065174,0,-1.4661,-1.3603,0
-0.06691,-0.06859,0,-1.3965,-1.4317,0
-0.063403,-0.071844,0,-1.3234,-1.4996,0
-0.059737,-0.07492,0,-1.247,-1.5637,0
-0.055938,-0.077798,0,-1.1675,-1.6239,0
-0.051989,-0.08049,0,-1.0851,-1.6801,0
-0.043723,-0.085263,0,-0.91242,-1.7797,0
-0.039398,-0.087346,0,-0.82257,-1.823,0
-0.035001,-0.089199,0,-0.73068,-1.8617,0
-0.03053,-0.090827,0,-0.63697,-1.8959,0
-0.025946,-0.092241,0,-0.54168,-1.9252,0
