"f_42-2",":0",":1",":2"
-0.99502,1,0,0
-0.99502,-0.5,0.86603,0
-0.99502,-0.5,-0.86603,0
-1.3185,2,0,0
-1.3181,-1,1.7321,0
-1.3113,-1,-1.7321,0
-0.99502,0.99503,0.099568,0
-0.99502,0.98017,0.19815,0
-0.99502,0.95557,0.29476,0
-0.99502,0.92148,0.38843,0
-0.99502,0.87822,0.47825,0
-0.99502,0.82624,0.56332,0
-0.99502,0.76604,0.64279,0
-0.99502,0.69824,0.71587,0
-0.99502,0.62349,0.78183,0
-0.99502,0.54255,0.84003,0
-0.99502,0.45621,0.88987,0
-0.99502,0.36534,0.93087,0
-0.99502,0.27084,0.96262,0
-0.99502,0.17365,0.98481,0
-0.99502,0.07473,0.9972,0
-0.99502,-0.024931,0.99969,0
-0.99502,-0.12434,0.99224,0
-0.99502,-0.22252,0.97493,0
-0.99502,-0.31849,0.94793,0
-0.99502,-0.41129,0.91151,0
-0.99502,-0.58374,0.81194,0
-0.99502,-0.66169,0.74978,0
-0.99502,-0.73305,0.68017,0
-0.99502,-0.79713,0.6038,0
-0.99502,-0.85329,0.52144,0
-0.99502,-0.90097,0.43388,0
-0.99502,-0.93969,0.34202,0
-0.99502,-0.96908,0.24676,0
-0.99502,-0.98883,0.14904,0
-0.99502,-0.99876,0.049846,0
-0.99502,-0.99876,-0.049846,0
-0.99502,-0.98883,-0.14904,0
-0.99502,-0.96908,-0.24676,0
-0.99502,-0.93969,-0.34202,0
-0.99502,-0.90097,-0.43388,0
-0.99502,-0.85329,-0.52144,0
-0.99502,-0.79713,-0.6038,0
-0.99502,-0.73305,-0.68017,0
-0.99502,-0.66169,-0.74978,0
-0.99502,-0.58374,-0.81194,0
-0.99502,-0.41129,-0.91151,0
-0.99502,-0.31849,-0.94793,0
-0.99502,-0.22252,-0.97493,0
-0.99502,-0.12434,-0.99224,0
-0.99502,-0.024931,-0.99969,0
-0.99502,0.07473,-0.9972,0
-0.99502,0.17365,-0.98481,0
-0.99502,0.27084,-0.96262,0
-0.99502,0.36534,-0.93087,0
-0.99502,0.45621,-0.88987,0
-0.99502,0.54255,-0.84003,0
-0.99502,0.62349,-0.78183,0
-0.99502,0.69824,-0.71587,0
-0.99502,0.76604,-0.64279,0
-0.99502,0.82624,-0.56332,0
-0.99502,0.87822,-0.47825,0
-0.99502,0.92148,-0.38843,0
-0.99502,0.95557,-0.29476,0
-0.99502,0.98017,-0.19815,0
-0.99502,0.99503,-0.099568,0
-1.3199,1.9975,0.099692,0
-1.321,1.9901,0.19914,0
-1.32,1.9777,0.29808,0
-1.3206,1.9603,0.39629,0
-1.3208,1.9382,0.49351,0
-1.3202,1.9111,0.58951,0
