"f_42-0:0","f_42-0:1","f_42-0:2",":0",":1",":2"
0.99504,0,0,1,0,0
-0.49752,0.86173,0,-0.5,0.86603,0
-0.49752,-0.86173,0,-0.5,-0.86603,0
0.49776,0.00032778,0,2,0,0
-0.24887,0.43109,0,-1,1.7321,0
-0.24908,-0.43096,0,-1,-1.7321,0
0.99009,0.099074,0,0.99503,0.099568,0
0.97531,0.19716,0,0.98017,0.19815,0
0.95083,0.29329,0,0.95557,0.29476,0
0.9169,0.38651,0,0.92148,0.38843,0
0.87386,0.47588,0,0.87822,0.47825,0
0.82214,0.56052,0,0.82624,0.56332,0
0.76224,0.6396,0,0.76604,0.64279,0
0.69477,0.71231,0,0.69824,0.71587,0
0.6204,0.77795,0,0.62349,0.78183,0
0.53985,0.83586,0,0.54255,0.84003,0
0.45395,0.88546,0,0.45621,0.88987,0
0.36353,0.92625,0,0.36534,0.93087,0
0.2695,0.95785,0,0.27084,0.96262,0
0.17279,0.97992,0,0.17365,0.98481,0
0.074359,0.99225,0,0.07473,0.9972,0
-0.024807,0.99473,0,-0.024931,0.99969,0
-0.12373,0.98731,0,-0.12434,0.99224,0
-0.22142,0.97009,0,-0.22252,0.97493,0
-0.31691,0.94322,0,-0.31849,0.94793,0
-0.40925,0.90698,0,-0.41129,0.91151,0
-0.58085,0.80791,0,-0.58374,0.81194,0
-0.6584,0.74606,0,-0.66169,0.74978,0
-0.72941,0.6768,0,-0.73305,0.68017,0
-0.79318,0.60081,0,-0.79713,0.6038,0
-0.84906,0.51885,0,-0.85329,0.52144,0
-0.8965,0.43173,0,-0.90097,0.43388,0
-0.93503,0.34032,0,-0.93969,0.34202,0
-0.96427,0.24553,0,-0.96908,0.24676,0
-0.98392,0.1483,0,-0.98883,0.14904,0
-0.9938,0.049599,0,-0.99876,0.049846,0
-0.9938,-0.049599,0,-0.99876,-0.049846,0
-0.98392,-0.1483,0,-0.98883,-0.14904,0
-0.96427,-0.24553,0,-0.96908,-0.24676,0
-0.93503,-0.34032,0,-0.93969,-0.34202,0
-0.8965,-0.43173,0,-0.90097,-0.43388,0
