"f",":0",":1",":2"
-6.0878331680752,1,0,0
-6.2703684545236875,0.999,0,0
-6.449211624894191,0.998,0,0
-6.624072483532309,0.997,0,0
-6.7946520202151,0.996,0,0
-6.960643843712449,0.995,0,0
-7.121735497166284,0.994,0,0
-7.277609495195933,0.993,0,0
-7.427945446811911,0.992,0,0
-7.572421521725043,0.991,0,0
-7.710716226743399,0.99,0,0
-7.842510558624213,0.989,0,0
-7.967489895647464,0.988,0,0
-8.085346166117066,0.987,0,0
-8.195780027396294,0.986,0,0
-8.298502999782182,0.985,0,0
-8.393239664684987,0.984,0,0
-8.47972988492361,0.983,0,0
-8.557730816293898,0.982,0,0
-8.62701906451377,0.981,0,0
-8.687392290993653,0.98,0,0
-8.738671266726579,0.979,0,0
-8.780701151874915,0.978,0,0
-8.813354176726232,0.977,0,0
-8.836527326792648,0.976,0,0
-8.850148157791336,0.975,0,0
-8.854171682114703,0.974,0,0
-8.8485823513892,0.973,0,0
-8.833394126695323,0.972,0,0
-8.808649805577415,0.971,0,0
-8.774421214546456,0.97,0,0
-8.730808466472233,0.969,0,0
-8.677938631949896,0.968,0,0
-8.615964837310434,0.967,0,0
-8.545065186781066,0.966,0,0
-8.465440592799586,0.965,0,0
-8.377313553796004,0.964,0,0
-8.280925887029722,0.963,0,0
-8.176537073143537,0.962,0,0
-8.064421732695632,0.961,0,0
-7.944867944468392,0.96,0,0
-7.818174567119074,0.959,0,0
-7.684649394283853,0.958,0,0
-7.5446071265093275,0.957,0,0
-7.398366175788887,0.956,0,0
-7.246248491166574,0.955,0,0
-7.088576089600181,0.954,0,0
-6.92566886811521,0.953,0,0
-6.7578449318632865,0.952,0,0
-6.585416637583473,0.951,0,0
-6.408690759734651,0.95,0,0
-6.227966239659855,0.949,0,0
-6.043533354127935,0.948,0,0
-5.855672846958695,0.947,0,0
-5.664654463644025,0.946,0,0
-5.470737131038471,0.945,0,0
-5.274167198104552,0.944,0,0
-5.075179339912337,0.943,0,0
-4.873994778637484,0.942,0,0
-4.670822538105756,0.941,0,0
-4.465857906492804,0.94,0,0
-4.259283924460334,0.939,0,0
-4.051270016598769,0.938,0,0
-3.841973594588441,0.937,0,0
-3.6315393014065167,0.936,0,0
-3.4200998407148266,0.935,0,0
-3.2077763293570416,0.934,0,0
-2.994678756608504,0.933,0,0
-2.7809064938838883,0.932,0,0
-2.5665489093242475,0.931,0,0
-2.351685948474891,0.93,0,0
-2.1363886921032074,0.929,0,0
-1.9207203270280468,0.928,0,0
-1.7047363360734014,0.927,0,0
-1.4884857491327628,0.926,0,0
-1.2720114112597165,0.925,0,0
-1.055351014668411,0.924,0,0
-0.838537794708347,0.923,0,0
-0.6216010887451231,0.922,0,0
-0.4045674587240426,0.921,0,0
-0.18746108945051712,0.92,0,0
0.029695185329386788,0.919,0,0
0.24687919027276972,0.918,0,0
0.4640686347583128,0.917,0,0
0.6812403434058224,0.916,0,0
0.8983693888903754,0.915,0,0
1.1154284139991144,0.914,0,0
1.3323869140091495,0.913,0,0
1.549210022381509,0.912,0,0
1.7658585582082706,0.911,0,0
1.982287294687059,0.91,0,0
2.1984449043615015,0.909,0,0
2.414273121394293,0.908,0,0
2.6297054757335885,0.907,0,0
2.8446672878500086,0.906,0,0
3.059074507459007,0.905,0,0
3.272833232188719,0.904,0,0
3.4858390251971825,0.903,0,0
3.697976248178934,0.902,0,0
3.9091176828927314,0.901,0,0
4.1191237187530225,0.9,0,0
4.327842407590484,0.899,0,0
4.535108372241894,0.898,0,0
4.740743287992768,0.897,0,0
4.944555015298835,0.896,0,0
5.146337906236721,0.895,0,0
5.345872332438437,0.894,0,0
5.542925571565259,0.893,0,0
5.737250871103917,0.892,0,0
5.928589032476448,0.891,0,0
6.116668072172337,0.89,0,0
6.301203791477967,0.889,0,0
6.481901543613644,0.888,0,0
6.658455873344026,0.887,0,0
6.830552532675288,0.886,0,0
6.997869699302988,0.885,0,0
7.160078680741018,0.884,0,0
7.316846570766229,0.883,0,0
7.467837169676896,0.882,0,0
7.612713199203111,0.881,0,0
