"f",":0",":1",":2"
1.999996799643132,1,0,0
1.9690982613326042,0.999,0,0
1.937292916878654,0.998,0,0
1.9045997551137301,0.997,0,0
1.8710392439587602,0.996,0,0
1.8366333701002586,0.995,0,0
1.801405675059317,0.994,0,0
1.7653812827582693,0.993,0,0
1.7285869198510213,0.992,0,0
1.6910509284438022,0.991,0,0
1.6528032687659762,0.99,0,0
1.6138755131583513,0.989,0,0
1.5743008297864332,0.988,0,0
1.534113955973259,0.987,0,0
1.4933511606835723,0.986,0,0
1.4520501963768606,0.985,0,0
1.410250239616592,0.984,0,0
1.3679918209151911,0.983,0,0
1.325316744322618,0.982,0,0
1.2822679945459645,0.981,0,0
1.2388896379319243,0.98,0,0
1.195226711065578,0.979,0,0
1.1513251023205542,0.978,0,0
1.1072314249511992,0.977,0,0
1.0629928851503458,0.976,0,0
1.0186571442268508,0.975,0,0
0.9742721751605519,0.974,0,0
0.9298861183399252,0.973,0,0
0.8855471346526472,0.972,0,0
0.8413032588790044,0.971,0,0
0.79720225482652,0.97,0,0
0.7532914704776925,0.969,0,0
0.7096177015480836,0.968,0,0
0.6662270554178512,0.967,0,0
0.6231648249741168,0.966,0,0
0.5804753674999915,0.965,0,0
0.5382019928663384,0.964,0,0
0.49638686053901765,0.963,0,0
0.4550708866112108,0.962,0,0
0.41429366042188526,0.961,0,0
0.37409337221104316,0.96,0,0
0.3345067529404575,0.959,0,0
0.2955690218725761,0.958,0,0
0.25731384847828714,0.957,0,0
0.21977332393934926,0.956,0,0
0.18297794197913125,0.955,0,0
0.14695659090606591,0.954,0,0
0.11173655448403584,0.953,0,0
0.07734352775192162,0.952,0,0
0.04380162597243149,0.951,0,0
0.011133422782914888,0.95,0,0
-0.02064002679570411,0.949,0,0
-0.051499135968940145,0.948,0,0
-0.08142574988337861,0.947,0,0
-0.11040308649140543,0.946,0,0
-0.13841568954863648,0.945,0,0
-0.16544936380082828,0.944,0,0
-0.19149112023631848,0.943,0,0
-0.21652910847585394,0.942,0,0
-0.24055255683275167,0.941,0,0
-0.2635517039968974,0.94,0,0
-0.2855177371222015,0.939,0,0
-0.3064427245050506,0.938,0,0
-0.32631955360637777,0.937,0,0
-0.3451418674707604,0.936,0,0
-0.36290400365920317,0.935,0,0
-0.37960093509145826,0.934,0,0
-0.3952282129880855,0.933,0,0
-0.4097819125611686,0.932,0,0
-0.4232585811701819,0.931,0,0
-0.4356551896476475,0.93,0,0
-0.4469690863258152,0.929,0,0
-0.4571979549708088,0.928,0,0
-0.46633977583326663,0.927,0,0
-0.4743927897237927,0.926,0,0
-0.48135546666094375,0.925,0,0
-0.48722647695782006,0.924,0,0
-0.492004667568525,0.923,0,0
-0.49568904063825997,0.922,0,0
-0.49827873698661274,0.921,0,0
-0.4997730232289177,0.92,0,0
-0.5001712821928811,0.919,0,0
-0.499473008138061,0.918,0,0
-0.4976778052854603,0.917,0,0
-0.4947853905226233,0.916,0,0
-0.49079559996382605,0.915,0,0
-0.4857083999142032,0.914,0,0
-0.47952390042303245,0.913,0,0
-0.47224237504846156,0.912,0,0
-0.46386428256579787,0.911,0,0
-0.45439029285428517,0.91,0,0
-0.44382131875785685,0.909,0,0
-0.4321585478731644,0.908,0,0
-0.41940348228732294,0.907,0,0
-0.4055579793940446,0.906,0,0
-0.39062429706020424,0.905,0,0
-0.3746051421769461,0.904,0,0
-0.3575037229634072,0.903,0,0
-0.3393238037447047,0.902,0,0
-0.32006976354362865,0.901,0,0
-0.2997466567451095,0.9,0,0
-0.2783602762902924,0.899,0,0
-0.25591721978054804,0.898,0,0
-0.2324249557301033,0.897,0,0
-0.20789189370768438,0.896,0,0
-0.18232745231571867,0.895,0,0
-0.15574213069490858,0.894,0,0
-0.1281475778492758,0.893,0,0
-0.09955666183605046,0.892,0,0
-0.0699835371539447,0.891,0,0
-0.03944371179564692,0.89,0,0
-0.007954108622111645,0.889,0,0
0.024466874053449952,0.888,0,0
0.05779930748773418,0.887,0,0
0.09202168369282775,0.886,0,0
0.1271108699403375,0.885,0,0
0.16304207301426246,0.884,0,0
0.19978880948974465,0.883,0,0
0.23732288433644425,0.882,0,0
0.2756143800299669,0.881,0,0
0.3146316541452622,0.88,0,0
0.35434134821949026,0.879,0,0
0.3947084076328039,0.878,0,0
0.4356961127626892,0.877,0,0
0.47726612222451437,0.876,0,0
0.5193785276168298,0.875,0,0
0.5619919210639345,0.874,0,0
0.6050634743775752,0.873,0,0
0.6485490294600631,0.872,0,0
0.6924031999384662,0.871,0,0
0.7365794841827378,0.87,0,0
0.7810303875054686,0.869,0,0
0.8257075534542333,0.868,0,0
0.8705619029571228,0.867,0,0
0.9155437801264488,0.866,0,0
0.9606031035675231,0.865,0,0
1.0056895211370827,0.864,0,0
1.05075256838096,0.863,0,0
1.0957418259165392,0.862,0,0
1.1406070791832594,0.861,0,0
1.1852984731377725,0.86,0,0
1.2297666650752967,0.859,0,0
1.2739629729791795,0.858,0,0
1.3178395159076939,0.857,0,0
1.361349348114779,0.856,0,0
1.4044465840634992,0.855,0,0
1.4470865138889262,0.854,0,0
1.4892257091173173,0.853,0,0
1.5308221158001087,0.852,0,0
1.5718351379841733,0.851,0,0
1.6122257077374846,0.85,0,0
1.6519563437641398,0.849,0,0
1.6909911992773359,0.848,0,0
1.7292960934843453,0.847,0,0
1.7668385390622479,0.846,0,0
1.803587749934766,0.845,0,0
1.839514645255729,0.844,0,0
1.8745918372001098,0.843,0,0
1.9087936166491053,0.842,0,0
1.9420959247001124,0.841,0,0
1.9744763124552291,0.84,0,0
2.0059139055175423,0.839,0,0
2.0363893539318516,0.838,0,0
2.0658847742915136,0.837,0,0
2.0943836985339073,0.836,0,0
2.121871003133983,0.835,0,0
2.1483328510940622,0.834,0,0
2.1737566201851517,0.833,0,0
2.1981308348270776,0.832,0,0
