"f:0","f:1","f:2",":0",":1",":2"
-0.08254036703498102,-1.2381488635777298,0,1,0,0
-0.08053506553081635,-1.2358598686724593,0,0.999,0,0
-0.07860192270109256,-1.2335402566446563,0,0.998,0,0
-0.07674397787814224,-1.2311915270379483,0,0.997,0,0
-0.07496422202270459,-1.2288154361529864,0,0.996,0,0
-0.07326558174530018,-1.2264139860467846,0,0.995,0,0
-0.07165090473723035,-1.2239894221249588,0,0.994,0,0
-0.07012292763151684,-1.2215442595566228,0,0.993,0,0
-0.06868426775721403,-1.2190812497351875,0,0.992,0,0
-0.06733740244629038,-1.2166033839873278,0,0.991,0,0
-0.06608463100714268,-1.2141139065984734,0,0.99,0,0
-0.06492807875579809,-1.211616272544885,0,0.989,0,0
-0.06386965878800632,-1.2091141596865025,0,0.988,0,0
-0.06291105769936711,-1.2066114466402706,0,0.987,0,0
-0.06205371438976437,-1.204112198074098,0,0.986,0,0
-0.061298803978786176,-1.2016206444026982,0,0.985,0,0
-0.06064722179791693,-1.1991411611219822,0,0.984,0,0
-0.06009956898533808,-1.1966782463451258,0,0.983,0,0
-0.05965613828458849,-1.1942364966186365,0,0.982,0,0
-0.059316900620843604,-1.1918205805233661,0,0.981,0,0
-0.05908150628371123,-1.1894352094149123,0,0.98,0,0
-0.05894927176935305,-1.1870851100102324,0,0.979,0,0
-0.058919180656699766,-1.18477499403435,0,0.978,0,0
-0.05898988451652776,-1.1825095280139348,0,0.977,0,0
-0.05915970665071313,-1.1802933032904128,0,0.976,0,0
-0.05942665028277627,-1.1781308067170366,0,0.975,0,0
-0.059788406559914464,-1.1760263904438235,0,0.974,0,0
-0.06024237060627857,-1.1739842457093297,0,0.973,0,0
-0.06078565021105509,-1.1720083705074675,0,0.972,0,0
-0.0614150957582803,-1.1701025530166227,0,0.971,0,0
-0.0621273164556192,-1.1682703481349905,0,0.97,0,0
-0.06291869219667945,-1.166515040720155,0,0.969,0,0
-0.06378541762257894,-1.1648396489814294,0,0.968,0,0
-0.06472352116977509,-1.163246910771602,0,0.967,0,0
-0.06572887939792627,-1.1617392312394923,0,0.966,0,0
-0.06679727017970416,-1.1603187403274782,0,0.965,0,0
-0.06792437805125517,-1.15898721910237,0,0.964,0,0
-0.06910583799220649,-1.1577461352267708,0,0.963,0,0
-0.07033725702592208,-1.1565966498332725,0,0.962,0,0
-0.07161424549928996,-1.1555395683686664,0,0.961,0,0
-0.07293243981070874,-1.15457541737003,0,0.96,0,0
-0.07428753273365962,-1.153704389525062,0,0.959,0,0
-0.0756752981332387,-1.1529263811137718,0,0.958,0,0
-0.07709160167858087,-1.1522410196432418,0,0.957,0,0
-0.07853244599960407,-1.1516476258384118,0,0.956,0,0
-0.0799939598501439,-1.1511452900366423,0,0.955,0,0
-0.08147243446172059,-1.150732844952912,0,0.954,0,0
-0.08296434631277827,-1.1504088852818957,0,0.953,0,0
-0.0844663334499316,-1.1501718182536096,0,0.952,0,0
-0.08597525015779417,-1.1500198412253821,0,0.951,0,0
-0.08748813980490355,-1.1499509867598259,0,0.95,0,0
-0.08900226505438635,-1.1499631275136846,0,0.949,0,0
-0.09051510020972287,-1.1500539969410282,0,0.948,0,0
-0.09202433371225882,-1.1502212118447392,0,0.947,0,0
-0.09352788194442274,-1.1504622777837168,0,0.946,0,0
-0.09502386332665091,-1.1507746206399974,0,0.945,0,0
-0.09651063383666325,-1.1511555838696512,0,0.944,0,0
-0.09798673479701536,-1.1516024614577551,0,0.943,0,0
-0.09945094798749021,-1.15211249311656,0,0.942,0,0
-0.10090222132918514,-1.152682892667476,0,0.941,0,0
-0.10233973972583255,-1.1533108457683865,0,0.94,0,0
-0.10376283420562793,-1.153993529721115,0,0.939,0,0
-0.10517106408493904,-1.154728116591306,0,0.938,0,0
-0.10656411931825271,-1.1555117828044001,0,0.937,0,0
-0.10794188057466758,-1.1563417160315457,0,0.936,0,0
-0.10930438240718354,-1.1572151211077883,0,0.935,0,0
-0.11065180124561724,-1.1581292233094718,0,0.934,0,0
-0.11198445354682907,-1.1590812727326816,0,0.933,0,0
-0.11330278945959316,-1.1600685481708333,0,0.932,0,0
-0.1146073747314369,-1.1610883568980748,0,0.931,0,0
-0.11589888536767068,-1.1621380362437799,0,0.93,0,0
-0.11717810373835957,-1.1632149557575118,0,0.929,0,0
-0.1184459020189087,-1.1643165145319896,0,0.928,0,0
-0.119703228931204,-1.1654401381064483,0,0.927,0,0
-0.12095113304056904,-1.1665832894005728,0,0.926,0,0
-0.12219069757641243,-1.1677434446563386,0,0.925,0,0
-0.12342308005532487,-1.168918109714252,0,0.924,0,0
-0.1246494923339736,-1.1701048126215772,0,0.923,0,0
-0.1258711681462864,-1.1713010905301113,0,0.922,0,0
-0.12708939526460228,-1.1725045024877057,0,0.921,0,0
-0.12830547150112692,-1.1737126114908547,0,0.92,0,0
-0.12952071578817315,-1.174922987776745,0,0.919,0,0
-0.13073645573437598,-1.176133203027037,0,0.918,0,0
-0.1319540194261728,-1.1773408277999575,0,0.917,0,0
-0.13317472132934927,-1.1785434214048012,0,0.916,0,0
-0.13439986871992005,-1.1797385383765282,0,0.915,0,0
-0.13563073782667479,-1.1809237146188718,0,0.914,0,0
-0.13686856774461242,-1.1820964651148806,0,0.913,0,0
-0.13811457654613413,-1.183254293487489,0,0.912,0,0
-0.13936989916319142,-1.1843946612401635,0,0.911,0,0
-0.14063564528489958,-1.1855150175434062,0,0.91,0,0
-0.14191283881018957,-1.1866127724544309,0,0.909,0,0
-0.1432024174126213,-1.187685298970673,0,0.908,0,0
-0.14450526717897016,-1.1887299495592967,0,0.907,0,0
-0.1458221438077163,-1.1897440273583078,0,0.906,0,0
-0.1471537189897012,-1.1907248074230465,0,0.905,0,0
-0.14850054001616642,-1.191669525866401,0,0.904,0,0
-0.1498630322708001,-1.192575385896013,0,0.903,0,0
-0.15124149480195237,-1.1934395597171505,0,0.902,0,0
-0.15263606574743505,-1.1942591875879511,0,0.901,0,0
-0.15404675546796498,-1.195031388360506,0,0.9,0,0
-0.15547338111436404,-1.1957532570799108,0,0.899,0,0
-0.15691561698276602,-1.1964218775220536,0,0.898,0,0
-0.15837293253821294,-1.197034324850382,0,0.897,0,0
-0.15984461966913166,-1.1975876769473663,0,0.896,0,0
-0.1613297733407506,-1.198079021116084,0,0.895,0,0
-0.16282726655284097,-1.1985054697657325,0,0.894,0,0
-0.16433578707201757,-1.198864163751709,0,0.893,0,0
-0.1658537746586668,-1.199152297185797,0,0.892,0,0
-0.16737946760681333,-1.199367120346976,0,0.891,0,0
-0.1689108697570887,-1.1995059612092682,0,0.89,0,0
-0.17044574744747742,-1.1995662458772702,0,0.889,0,0
-0.1719816582297382,-1.1995454999099182,0,0.888,0,0
-0.1735159097221619,-1.1994413885965172,0,0.887,0,0
-0.17504559373591022,-1.1992517202501256,0,0.886,0,0
-0.17656758900911063,-1.1989744612157043,0,0.885,0,0
-0.1780785413322924,-1.1986077813055669,0,0.884,0,0
-0.1795749112099393,-1.1981500374577725,0,0.883,0,0
-0.1810529556358801,-1.1975998205777985,0,0.882,0,0
-0.18250875398808541,-1.1969559641671663,0,0.881,0,0
-0.1839382237439121,-1.1962175605458856,0,0.88,0,0
-0.1853371378471642,-1.1953839773826838,0,0.879,0,0
-0.18670114205907062,-1.1944548821153769,0,0.878,0,0
-0.18802578152782057,-1.1934302491804412,0,0.877,0,0
-0.18930652527718594,-1.192310368373704,0,0.876,0,0
-0.1905387907217242,-1.191095856997597,0,0.875,0,0
-0.1917179718888391,-1.1897876760167603,0,0.874,0,0
-0.1928394705885127,-1.1883871277086584,0,0.873,0,0
-0.19389872332820624,-1.1868958463598784,0,0.872,0,0
-0.19489123509792106,-1.185315817337973,0,0.871,0,0
-0.1958126089211878,-1.1836493598427897,0,0.87,0,0
-0.19665857705914735,-1.1818991219181958,0,0.869,0,0
-0.19742503101502162,-1.180068068779544,0,0.868,0,0
-0.19810805160226685,-1.178159469585173,0,0.867,0,0
-0.19870393634855243,-1.1761768789399185,0,0.866,0,0
-0.19920922556336074,-1.1741241164580032,0,0.865,0,0
-0.19962072664164732,-1.172005244081195,0,0.864,0,0
-0.19993553627002048,-1.1698245405166776,0,0.863,0,0
-0.2001510558635492,-1.1675864723411387,0,0.862,0,0
-0.20026502177553762,-1.1652956696321628,0,0.861,0,0
-0.2002754944970232,-1.1629568849807288,0,0.86,0,0
-0.2001808736120012,-1.1605749693073053,0,0.859,0,0
-0.19997995054229512,-1.158154840885913,0,0.858,0,0
